fold,backend,train_size,valid_size,train_start,train_end,valid_start,valid_end,mag_rmse,mag_mae,time_rmse,time_mae,time_asymmetric_mae,time_asymmetric_rmse
1,sklearn_hist_gradient_boosting,784,784,1970-01-04,1980-05-04,1980-05-09,1990-01-04,1.3586070419608969,0.5503234289124574,2.4640957811870003,0.7654232928916281,1.106774081500197,2.5519071454989013
2,sklearn_hist_gradient_boosting,1568,784,1970-01-04,1990-01-04,1990-01-05,1998-03-25,1.4500615445875962,0.6050065967839582,2.212162763367738,0.7723607127252441,1.222292664568526,2.4252456751875817
3,sklearn_hist_gradient_boosting,2352,784,1970-01-04,1998-03-25,1998-03-25,2006-08-20,1.3798003915440085,0.5320195300258994,3.108385480545235,0.8674700321300091,1.1886598533922434,3.2107249235380744
4,sklearn_hist_gradient_boosting,3136,784,1970-01-04,2006-08-20,2006-08-20,2014-07-02,1.4619820183938201,0.6443363364678182,2.8073122357345563,0.9717477630139788,1.483293031564413,3.0092727294535933
5,sklearn_hist_gradient_boosting,3920,784,1970-01-04,2014-07-02,2014-07-03,2023-12-28,1.2631325010007717,0.5049991826831448,2.0191128311434983,0.7028126286542823,1.1250125607666055,2.2044658950116873
