mainshock_id,mainshock_time,mainshock_lat,mainshock_lon,mainshock_mag,mainshock_depth,early_aftershock_count,early_max_mag,early_mean_mag,early_energy_sum,advanced_early_event_count,gr_b_value,gr_a_value,gr_mc,gr_n,gr_valid,omori_p,omori_c,omori_k,omori_nll,omori_n,omori_p_boundary_hit,omori_valid,anisotropy_major_axis_km,anisotropy_minor_axis_km,anisotropy_axis_ratio,anisotropy_azimuth_deg,anisotropy_n,anisotropy_valid,count_1h,energy_1h,count_6h,energy_6h,count_12h,energy_12h,count_24h,energy_24h,count_72h,energy_72h,etas_mu,etas_K0,etas_alpha,etas_c,etas_p,etas_nll,etas_n,etas_valid,plate_type_SUB,plate_type_OTF,plate_type_OSR,plate_type_UNK,plate_boundary_distance_km,nearest_plate_boundary_type,target_max_mag,target_time_to_max_days
iscgem795204,1970-05-04 18:53:18.910000+00:00,-41.683,79.955,6.04,10.0,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,19.138228279894744,UNK,0.0,0.0
iscgem795586,1970-05-14 18:12:26.110000+00:00,43.137,47.141,6.7,12.2,5,5.55,5.202,25307614951739.28,5,,,5.1,4,False,,,,,5,False,False,17.45528698915473,3.0562785035914466,5.711288080795956,70.67954388322595,5,True,1,2818382931264.449,2,6168037322842.729,3,9517691714421.008,3,9517691714421.008,5,25307614951739.28,,,,,,,5,False,0,0,0,1,896.369492878094,UNK,0.0,0.0
iscgem795644,1970-05-15 17:13:13.940000+00:00,50.224,91.158,6.27,10.9,3,5.44,5.3,18290794962846.117,3,,,,3,False,,,,,3,False,False,7.02462527267813,3.8749703835196447,1.8128203772999285,151.2679821523415,3,True,1,5821032177708.722,2,14941140571267.836,2,14941140571267.836,2,14941140571267.836,3,18290794962846.117,,,,,,,3,False,0,0,0,1,1491.4577239766884,UNK,0.0,0.0
iscgem795832,1970-05-20 20:03:42.660000+00:00,-55.835,-28.263,6.14,64.4,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,154.64821974353856,SUB,0.0,0.0
iscgem796059,1970-05-27 22:35:49.790000+00:00,40.201,143.162,6.24,26.7,1,6.05,6.05,74989420933245.58,1,,,,1,False,,,,,1,False,False,,,,,1,False,0,0.0,1,74989420933245.58,1,74989420933245.58,1,74989420933245.58,1,74989420933245.58,,,,,,,1,False,1,0,0,0,126.29994087523366,SUB,0.0,0.0
iscgem796097,1970-05-29 05:14:37.550000+00:00,-15.033,-173.46,6.08,16.6,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,43.85200471648109,SUB,0.0,0.0
iscgem796108,1970-05-29 19:02:21.720000+00:00,-11.627,166.426,6.23,62.8,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,94.27247304373265,SUB,0.0,0.0
iscgem796163,1970-05-31 20:23:30.720000+00:00,-9.266,-78.847,7.9,58.4,3,6.21,6.0,238803264449372.75,3,,,,3,False,,,,,3,False,False,55.320854781614045,11.535503383601956,4.79570357200486,133.41259419355674,3,True,1,86099375218459.81,2,216416053063689.28,2,216416053063689.28,2,216416053063689.28,3,238803264449372.75,,,,,,,3,False,1,0,0,0,183.7180093052415,SUB,6.4,0.3235758101851852
iscgem794309,1970-06-05 04:53:08.510000+00:00,42.505,78.692,6.3,19.8,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,1314.2349813660944,UNK,0.0,0.0
iscgem794484,1970-06-10 16:17:48.450000+00:00,44.821,149.535,6.1,41.0,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,131.3979091600282,SUB,0.0,0.0
