mainshock_id,mainshock_time,mainshock_lat,mainshock_lon,mainshock_mag,mainshock_depth,early_aftershock_count,early_max_mag,early_mean_mag,early_energy_sum,target_max_mag,target_time_to_max_days,advanced_early_event_count,bath_deficit,bath_early_max_mag,bath_valid,gr_b_value,gr_a_value,gr_mc,gr_n,gr_valid,productivity_index,omori_p,omori_c,omori_k,omori_nll,omori_n,omori_p_boundary_hit,omori_valid,anisotropy_major_axis_km,anisotropy_minor_axis_km,anisotropy_axis_ratio,anisotropy_azimuth_deg,anisotropy_n,anisotropy_valid,count_1h,energy_1h,count_6h,energy_6h,count_12h,energy_12h,count_24h,energy_24h,count_72h,energy_72h,etas_mu,etas_K0,etas_alpha,etas_c,etas_p,etas_nll,etas_n,etas_valid,plate_type_SUB,plate_type_OTF,plate_type_OSR,plate_type_UNK,plate_boundary_distance_km,nearest_plate_boundary_type,strike1,dip1,rake1,strike2,dip2,rake2,fault_type,fault_type_Thrust,fault_type_Normal,fault_type_Strike_Slip,fault_type_Unknown,fault_type_NF,fault_type_SS,fault_type_TF,fault_type_UNK,plunge_P,trend_P,plunge_T,trend_T,f_clvd,gcmt_time_diff_seconds,gcmt_distance_km,focal_mechanism_valid
iscgem798861,1970-02-06 00:11:48.450000+00:00,54.565,163.467,6.04,21.3,0,0.0,0.0,0.0,0.0,0.0,0,6.04,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,1.0418495920324273,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem799398,1970-02-24 08:05:44.540000+00:00,59.562,-143.517,6.17,16.8,0,0.0,0.0,0.0,0.0,0.0,0,6.17,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,112.84355501550705,UNK,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem799415,1970-02-25 10:20:59.430000+00:00,24.124,122.298,6.08,31.2,0,0.0,0.0,0.0,0.0,0.0,0,6.08,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,27.580602414840275,UNK,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem799455,1970-02-26 23:29:05.760000+00:00,43.451,147.64,6.1,27.7,0,0.0,0.0,0.0,0.0,0.0,2,0.34999999999999964,5.75,True,,,,2,False,,,,,,2,False,False,,,,,2,False,0,0.0,2,49781197097672.84,2,49781197097672.84,2,49781197097672.84,2,49781197097672.84,,,,,,,2,False,1,0,0,0,75.66231993111904,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem799476,1970-02-27 07:07:59.810000+00:00,50.079,-179.737,6.02,15.7,0,0.0,0.0,0.0,0.0,0.0,0,6.02,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,73.49370705661583,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem797509,1970-03-04 03:30:35.270000+00:00,12.218,143.811,6.21,17.9,0,0.0,0.0,0.0,0.0,0.0,0,6.21,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,60.41546915893344,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem797686,1970-03-09 16:01:12.400000+00:00,-19.111,168.702,6.6,37.2,0,0.0,0.0,0.0,0.0,0.0,1,1.0499999999999998,5.55,True,,,,1,False,,,,,,1,False,False,,,,,1,False,0,0.0,1,13335214321633.24,1,13335214321633.24,1,13335214321633.24,1,13335214321633.24,,,,,,,1,False,1,0,0,0,103.13777513887293,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem797745,1970-03-10 04:58:29.450000+00:00,44.701,148.919,6.23,54.2,0,0.0,0.0,0.0,0.0,0.0,0,6.23,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,152.07608829452923,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem798211,1970-03-19 23:33:31.760000+00:00,51.355,173.66,6.31,17.7,0,0.0,0.0,0.0,0.0,0.0,0,6.31,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,29.127189151452537,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem798352,1970-03-24 10:35:19.470000+00:00,-22.033,126.721,6.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0,6.0,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,1341.430018449394,UNK,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
