mainshock_id,mainshock_time,mainshock_lat,mainshock_lon,mainshock_mag,mainshock_depth,early_aftershock_count,early_max_mag,early_mean_mag,early_energy_sum,target_max_mag,target_time_to_max_days,advanced_early_event_count,bath_deficit,bath_early_max_mag,bath_valid,gr_b_value,gr_a_value,gr_mc,gr_n,gr_valid,productivity_index,omori_p,omori_c,omori_k,omori_nll,omori_n,omori_p_boundary_hit,omori_valid,anisotropy_major_axis_km,anisotropy_minor_axis_km,anisotropy_axis_ratio,anisotropy_azimuth_deg,anisotropy_n,anisotropy_valid,count_1h,energy_1h,count_6h,energy_6h,count_12h,energy_12h,count_24h,energy_24h,count_72h,energy_72h,etas_mu,etas_K0,etas_alpha,etas_c,etas_p,etas_nll,etas_n,etas_valid,plate_type_SUB,plate_type_OTF,plate_type_OSR,plate_type_UNK,plate_boundary_distance_km,nearest_plate_boundary_type,strike1,dip1,rake1,strike2,dip2,rake2,fault_type,fault_type_Thrust,fault_type_Normal,fault_type_Strike_Slip,fault_type_Unknown,fault_type_NF,fault_type_SS,fault_type_TF,fault_type_UNK,plunge_P,trend_P,plunge_T,trend_T,f_clvd,gcmt_time_diff_seconds,gcmt_distance_km,focal_mechanism_valid
iscgem795204,1970-05-04 18:53:18.910000+00:00,-41.683,79.955,6.04,10.0,0,0.0,0.0,0.0,0.0,0.0,0,6.04,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,19.138228279894744,UNK,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem795586,1970-05-14 18:12:26.110000+00:00,43.137,47.141,6.7,12.2,0,0.0,0.0,0.0,0.0,0.0,5,1.1500000000000004,5.55,True,,,5.1,4,False,,,,,,5,False,False,17.45528698915473,3.0562785035914466,5.711288080795956,70.67954388322595,5,True,1,2818382931264.449,2,6168037322842.729,3,9517691714421.008,3,9517691714421.008,5,25307614951739.28,,,,,,,5,False,0,0,0,1,896.369492878094,UNK,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem795644,1970-05-15 17:13:13.940000+00:00,50.224,91.158,6.27,10.9,0,0.0,0.0,0.0,0.0,0.0,3,0.8299999999999992,5.44,True,,,,3,False,,,,,,3,False,False,7.02462527267813,3.8749703835196447,1.8128203772999283,151.2679821523415,3,True,1,5821032177708.722,2,14941140571267.836,2,14941140571267.836,2,14941140571267.836,3,18290794962846.117,,,,,,,3,False,0,0,0,1,1491.4577239766884,UNK,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem795832,1970-05-20 20:03:42.660000+00:00,-55.835,-28.263,6.14,64.4,0,0.0,0.0,0.0,0.0,0.0,0,6.14,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,154.64821974353856,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem796059,1970-05-27 22:35:49.790000+00:00,40.201,143.162,6.24,26.7,1,6.05,6.05,74989420933245.58,0.0,0.0,1,0.1900000000000004,6.05,True,,,,1,False,,,,,,1,False,False,,,,,1,False,0,0.0,1,74989420933245.58,1,74989420933245.58,1,74989420933245.58,1,74989420933245.58,,,,,,,1,False,1,0,0,0,126.29994087523366,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem796097,1970-05-29 05:14:37.550000+00:00,-15.033,-173.46,6.08,16.6,0,0.0,0.0,0.0,0.0,0.0,0,6.08,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,43.85200471648109,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem796108,1970-05-29 19:02:21.720000+00:00,-11.627,166.426,6.23,62.8,0,0.0,0.0,0.0,0.0,0.0,0,6.23,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,94.27247304373263,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem796163,1970-05-31 20:23:30.720000+00:00,-9.266,-78.847,7.9,58.4,2,6.21,6.15,216416053063689.28,6.4,0.3235758101851852,3,1.6900000000000004,6.21,True,,,,3,False,,,,,,3,False,False,55.320854781614045,11.535503383601956,4.79570357200486,133.41259419355674,3,True,1,86099375218459.81,2,216416053063689.28,2,216416053063689.28,2,216416053063689.28,3,238803264449372.75,,,,,,,3,False,1,0,0,0,183.71800930524154,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem794309,1970-06-05 04:53:08.510000+00:00,42.505,78.692,6.3,19.8,0,0.0,0.0,0.0,0.0,0.0,0,6.3,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,1314.2349813660944,UNK,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem794484,1970-06-10 16:17:48.450000+00:00,44.821,149.535,6.1,41.0,0,0.0,0.0,0.0,0.0,0.0,0,6.1,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,131.3979091600282,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem794513,1970-06-11 16:46:34.180000+00:00,-59.272,159.229,7.3,15.0,0,0.0,0.0,0.0,0.0,0.0,0,7.3,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,28.614488553332233,UNK,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem794565,1970-06-14 00:00:10.850000+00:00,-52.027,-74.131,6.87,15.0,0,0.0,0.0,0.0,0.0,0.0,1,1.2700000000000005,5.6,True,,,,1,False,,,,,,1,False,False,,,,,1,False,1,15848931924611.11,1,15848931924611.11,1,15848931924611.11,1,15848931924611.11,1,15848931924611.11,,,,,,,1,False,0,0,0,1,132.37525788531752,UNK,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem794605,1970-06-15 11:14:51.080000+00:00,-54.421,-64.239,6.79,10.0,0,0.0,0.0,0.0,0.0,0.0,0,6.79,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,60.59758910825221,UNK,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem794705,1970-06-19 10:56:15.760000+00:00,-22.226,-70.351,6.5,50.0,0,0.0,0.0,0.0,0.0,0.0,0,6.5,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,68.638335105474,UNK,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem794827,1970-06-24 13:09:12.490000+00:00,51.754,-131.006,7.3,19.9,0,0.0,0.0,0.0,0.0,0.0,1,1.7699999999999996,5.53,True,,,,1,False,,,,,,1,False,False,,,,,1,False,1,12445146117713.818,1,12445146117713.818,1,12445146117713.818,1,12445146117713.818,1,12445146117713.818,,,,,,,1,False,0,0,0,1,1.1890685757920998,UNK,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem794847,1970-06-25 05:13:57.570000+00:00,-7.883,158.775,6.21,48.3,0,0.0,0.0,0.0,0.0,0.0,0,6.21,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,172.51686836040375,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem793406,1970-07-02 00:45:02.380000+00:00,-10.166,-78.54,6.0,50.1,0,0.0,0.0,0.0,0.0,0.0,0,6.0,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,164.74979243265875,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem793407,1970-07-02 00:56:14.130000+00:00,-51.056,139.265,6.08,10.0,0,0.0,0.0,0.0,0.0,0.0,0,6.08,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,50.69736468314825,UNK,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem793612,1970-07-09 12:11:57.930000+00:00,43.772,148.396,6.06,29.4,0,0.0,0.0,0.0,0.0,0.0,0,6.06,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,66.33159841867801,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem793800,1970-07-16 21:17:43.670000+00:00,-19.187,-173.333,6.09,15.0,0,0.0,0.0,0.0,0.0,0.0,0,6.09,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,46.67331184073396,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem793837,1970-07-17 20:04:47.040000+00:00,-22.026,-174.652,6.31,20.8,0,0.0,0.0,0.0,0.0,0.0,0,6.31,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,65.1425270029873,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem793841,1970-07-18 01:48:38.910000+00:00,51.353,-178.504,6.1,31.3,0,0.0,0.0,0.0,0.0,0.0,0,6.1,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,152.30038936469572,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
