fold,model,train_size,valid_size,purge_days,train_start,train_end,valid_start,valid_end,mag_rmse,mag_mae,mag_medae,mag_weighted_rmse,time_rmse,time_mae,time_medae,time_log_rmse,time_hit_rate,time_asymmetric_mae,time_asymmetric_rmse,mag_energy_ratio_median,mag_energy_ratio_mean
1,dl,483,486,30.0,1970-01-04,1984-11-01,1984-12-03,1994-05-02,0.5332612237474476,0.43042630423243644,0.3699219226837158,0.6800963021934422,9.050999237055825,6.880367312066778,4.708166599273682,0.41525551220212265,0.10082304526748971,7.929334816909989,9.285514377521809,3.5882548421423017,11.454863759139739
2,dl,969,486,30.0,1970-01-04,1994-04-08,1994-05-11,2002-06-22,0.5707113835161474,0.4779295214900264,0.4542968273162842,0.6511235593783756,9.2887538087632,6.976373089519578,4.458898493088782,0.42376199839932993,0.10493827160493827,7.99220053370996,9.501084665971321,4.802259634630052,10.443024142092403
3,dl,1455,486,30.0,1970-01-04,2002-05-25,2002-06-27,2009-01-18,0.5228358758991588,0.420665821420803,0.3601562976837158,0.6442373531237203,9.433836553106245,7.070207570298022,4.361081123352051,0.4290165579439298,0.09876543209876543,7.993121190536757,9.605021050936772,3.4692534414533256,9.258237766206951
4,dl,1940,486,30.0,1970-01-04,2008-12-20,2009-01-22,2016-04-19,0.5142770853846,0.409867536874465,0.33359384536743164,0.6562368454660139,9.05132573288662,6.8555257225192605,4.68808913230896,0.4148903337910907,0.102880658436214,7.858780631893257,9.27165997965373,3.165170380952031,9.074163731487381
5,dl,2427,486,30.0,1970-01-04,2016-03-20,2016-04-25,2023-12-21,0.4590737373609884,0.3638959598148801,0.30312514305114746,0.5704918266076884,9.13386334261179,6.870684747549671,4.293766498565674,0.4053700883056181,0.08641975308641975,7.894339032547832,9.3248253984957,2.8489793134879076,6.939078192799181
