fold,model,train_size,valid_size,purge_days,train_start,train_end,valid_start,valid_end,mag_rmse,mag_mae,time_rmse,time_mae,time_asymmetric_mae,time_asymmetric_rmse
1,gnn,483,486,30.0,1970-01-04,1984-11-01,1984-12-03,1994-05-02,0.5490737776981687,0.4422060187461445,8.921000414426718,6.8882871754850745,8.081022916308033,9.19151704569695
2,gnn,969,486,30.0,1970-01-04,1994-04-08,1994-05-11,2002-06-22,0.5849378462457234,0.4838037706696938,9.38101550005381,7.012981297383123,7.953268974812494,9.563912051979544
3,gnn,1455,486,30.0,1970-01-04,2002-05-25,2002-06-27,2009-01-18,0.5398209292368407,0.4330863815276221,8.97643464063044,6.8203749882167255,8.036206658450272,9.2413447284126
4,gnn,1940,486,30.0,1970-01-04,2008-12-20,2009-01-22,2016-04-19,0.521846199366188,0.4252096291922738,9.164193500599676,6.926441082538301,7.855225834426367,9.339698599313747
5,gnn,2427,486,30.0,1970-01-04,2016-03-20,2016-04-25,2023-12-21,0.4625529488918088,0.3709754767241301,8.968041250902782,6.737657997550236,7.852909098360151,9.204759913275689
