number,value,lgb_lr,lgb_num_leaves,lgb_max_depth,lgb_min_child_samples,lgb_subsample,lgb_colsample_bytree,lgb_reg_alpha,lgb_reg_lambda,xgb_lr,xgb_max_depth,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,xgb_reg_alpha,xgb_reg_lambda,feature_selection,feature_selection_ratio,feature_selection_min,purge_days,min_purge_days,dl_d_model,dl_nhead,dl_num_layers,dl_dim_ff,dl_dropout,dl_lr,dl_batch_size,dl_epochs,dl_global_hidden,dl_fusion_hidden,gnn_node_hidden,gnn_layers,gnn_sigma,gnn_radius_km,gnn_gru_hidden,gnn_gru_layers,gnn_dropout,gnn_lr,gnn_batch_size,gnn_epochs,gnn_global_hidden,gnn_fusion_hidden,ensemble_grid_step,attr_n_features,attr_feature_selection,attr_dl_error,attr_gnn_error,attr_mag_rmse,attr_time_asym_rmse,attr_time_rmse,attr_n_models,attr_available_models,attr_holdout_combined,attr_holdout_mag_rmse,attr_holdout_time_asym_rmse
78,10.402072259362193,0.022440298217104127,93,7,55,0.8313018406071077,0.8514255944016731,0.0825058892574191,3.728002408804487,0.015075773118636584,4,42,0.5604358646961047,0.5433018389093823,0.00021082136747822993,2.572898311353522,False,0.7517943899611411,24,89.63066772213367,10.786399950641522,128,8,3,512,0.22259582550273402,0.0007250455889835999,64,37,256,64,64,4,36.35978654819014,107.72248502145405,128,1,0.09378886953544928,0.002335130779442125,32,21,256,256,0.02,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5138572779691493,8.860500425454745,8.941670569459312,2,"baseline,xgboost",,,
79,10.427833924810402,0.06033017065806024,40,10,42,0.7337289666340127,0.7931418293802048,0.15068528869456385,2.0393192392286332,0.017275751472284603,3,45,0.5924142404125754,0.40884276252582563,0.0064968579542249065,1.9712068649354924,False,0.7984040011281871,37,59.75330852246102,17.41434699161022,192,8,2,512,0.2997010796463442,0.0009499883550341278,64,31,128,128,64,5,59.71893490209678,102.39482454674891,64,3,0.08204876148623735,0.003199021492132544,32,23,128,256,0.02,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.51288384980863,8.889182375384513,9.205932932474758,2,"baseline,xgboost",,,
80,10.408581058005296,0.012954065336832155,50,9,40,0.8481449708438535,0.5761364203766993,0.014084895425540228,5.447986375433521,0.02025752635069734,3,30,0.5847256904764374,0.49455717083524753,0.030558210266609983,9.124775223702203,False,0.727230487615323,42,76.51134766188285,12.333978109309147,256,4,2,512,0.14202077951912112,0.0009760165866476433,32,31,256,64,32,5,21.555850063963103,114.61913657097777,32,2,0.13702322423627142,0.0041978883132885916,16,25,64,128,0.02,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5136182379544961,8.867726344141808,8.907762169010246,2,"baseline,xgboost",12.299319023058477,2.5381504050900734,9.761168617968403
81,10.485582602855327,0.04157421446550162,130,7,99,0.7537595225763122,0.8681383077086822,0.8806928208450795,0.5865125509245553,0.027322336306516506,4,41,0.666126538931947,0.45454125277386365,0.006685636136592555,4.827925828847795,False,0.694666797494065,31,74.7575977110369,17.93713877022578,256,8,4,512,0.20348472164742382,0.0005585260353729633,64,24,256,64,64,5,35.88380680374718,130.26599787974027,64,2,0.1855839055169257,0.0010679180300093702,32,30,128,256,0.02,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5157280647614225,8.938398408571059,8.938714824000604,2,"baseline,xgboost",,,
82,10.398958798847406,0.05415220183316752,93,7,53,0.8919162510817633,0.6457282757445058,0.0005199694141343656,0.3847035393571399,0.016811806844049603,4,19,0.5608136936417042,0.4857408924104527,8.77702332924345,5.720955955957021,False,0.6018789221071942,26,69.12968084504206,10.791608655881618,256,8,2,512,0.20649104006182534,0.0007583988141540946,32,28,256,64,32,5,28.296867764117255,129.13927859850116,64,3,0.12932593670313444,0.004144731873020185,8,19,128,128,0.04,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5159454556999343,8.851122431747603,9.063597916915322,2,"baseline,xgboost",,,
83,10.405925952595567,0.038469475643027225,199,9,70,0.7016350519651335,0.4701523206305357,0.00782971004171444,4.473019641961862,0.01834258275719585,4,44,0.7418601519124078,0.465036246959591,5.336836559665772,1.590116235102507,False,0.7219731100622347,20,72.98069751085748,11.408533760404895,192,8,2,512,0.23565171462498632,0.0006905188845868662,64,23,256,256,128,5,60.62274032428162,131.60578884289706,64,2,0.13579267462397585,0.004828988410403396,8,24,128,256,0.02,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5146381355047464,8.862011546081328,8.936565859836387,2,"baseline,xgboost",,,
84,10.493475195192534,0.05458177919526934,76,5,68,0.6559927176924633,0.6509658396264265,0.5148271285550965,7.475815453200008,0.023570407990468348,4,43,0.6922439812492868,0.6247056028911142,0.0028626523165858303,0.8223878519164449,False,0.729386164908103,31,52.96803666859056,19.852876890534198,192,8,3,256,0.25718812649767625,0.0007069777958897945,64,39,256,64,64,5,41.53783240848114,89.19891938748489,32,2,0.15064651757159522,0.0030854609826795436,32,22,64,256,0.02,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5165430680914589,8.943845990918158,9.042582576261317,2,"baseline,xgboost",,,
85,10.478403322921878,0.06715964872503834,145,13,35,0.8892739312623776,0.46698017631818234,0.6677276035783488,8.483237536105266,0.017250674795502376,7,34,0.5927482079565877,0.6157432094288476,0.19541254498558533,9.32337500637442,False,0.7590096877102755,23,86.71722236984955,6.180067643671661,192,8,2,512,0.13491672011350825,0.0005764068829215243,16,27,256,64,128,3,52.366474017366656,123.86100183737746,64,3,0.25087779503211605,0.004698254676369615,16,17,128,64,0.04,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5151329097071079,8.933004593800554,9.216849234752098,2,"baseline,xgboost",,,
86,10.402260611178233,0.03463483651526371,170,7,64,0.8837113966782808,0.5266195071114872,0.020463680609422684,2.689268638071406,0.010911583965734073,4,35,0.6721013647040079,0.5348710300948023,0.00022291419102326784,1.4608776170917148,False,0.6703756065188645,31,70.14643715605787,16.73740785741534,192,8,2,512,0.28080341300407613,0.0005309441489832378,64,37,256,64,64,4,49.75103800397593,134.65616533416284,64,2,0.05102958719438638,0.003678834146333651,32,29,128,256,0.02,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5143722783016328,8.859143776273335,8.955496911014071,2,"baseline,xgboost",,,
87,10.420878336711718,0.06443901006652626,190,6,91,0.7809023036013727,0.7912016187976411,0.09698155334993792,1.2089088734816458,0.014381657009507425,6,37,0.5718067726896133,0.42761145191069727,0.009401692163756232,5.066123778595309,False,0.8572112701402441,31,77.83994107583878,15.350025639547107,192,8,5,512,0.26556462320850915,0.0006816766627430866,32,36,256,256,64,5,51.11175596175632,101.29573861387385,128,2,0.18713365257690423,0.00469998012860138,8,20,128,256,0.02,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5132755664987813,8.881051637215375,9.01305460301656,2,"baseline,xgboost",,,
88,10.465887948336158,0.08942507311188638,53,7,91,0.8020953048682916,0.54510730260791,0.005675641416443433,0.18384693866217608,0.01504603238857774,6,17,0.6042605463081392,0.43271907576020224,1.3208740820995393,3.2837825009331088,True,0.7356745535812009,20,33.89394199470145,9.953638427605703,256,8,1,512,0.14297917010492123,0.0014318028353618435,32,23,256,64,128,4,54.32415544097199,140.34076399935006,32,3,0.21489341503981574,0.003971532860389361,16,21,256,64,0.04,21,True,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5138285668537932,8.924402247774779,9.078399380839903,2,"baseline,xgboost",,,
89,10.413387032296967,0.06163077402190444,71,6,88,0.7907695100275218,0.5861737500701334,0.011331320654704843,0.3833143115061602,0.012506516102312066,5,20,0.5903508885831906,0.40455460579435976,3.9112641258265755,1.7143741946859254,False,0.6180116253578929,23,67.74475328581761,9.872936226950737,256,2,2,512,0.12727898118333728,0.0023460821421347664,32,24,256,64,128,5,26.758121682434126,129.5487029873801,64,3,0.06765708621715448,0.0045786252164167875,16,20,128,256,0.04,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5148999751132571,8.868687106957196,9.005712314199172,2,"baseline,xgboost",,,
90,10.408996271939165,0.029055084490176762,45,3,34,0.91916993924209,0.6976328222681331,0.004769743717369293,1.0798109269928433,0.0267239458081458,3,33,0.5590021466644652,0.46895159701584327,5.952949762522671,1.4239024784775838,True,0.6828097488839615,25,55.56489112744726,13.049926418673442,256,8,1,512,0.1820347528744822,0.0008499980943405709,16,21,256,256,128,4,26.130666147149608,133.0712133140265,64,3,0.10585921647262514,0.004220038678661013,16,29,128,256,0.04,25,True,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5135643273685453,8.868303289833529,8.961107309630732,2,"baseline,xgboost",11.995603168918871,2.498567548992966,9.497035619925905
91,10.356714634282442,0.012231415443284788,233,8,92,0.8952998254229149,0.4448571283821456,0.06536773212960893,4.74579011977054,0.011610803685215854,3,31,0.635266655250298,0.9093633458620625,4.762594894108931,7.771948997485192,False,0.6073347939877913,47,84.0014299341346,15.6987275408086,256,4,1,512,0.17284433760619108,0.0025585775737900457,32,38,256,128,32,4,28.510090064804306,119.02887847965988,32,1,0.14586695678186545,0.0013022836713612069,16,25,64,64,0.02,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5169767128805364,8.805784495640832,8.868387514196446,2,"baseline,xgboost",12.296608448870838,2.506253261198775,9.790355187672063
92,10.377785354374085,0.013067305100355179,214,10,67,0.9296988369521545,0.46102697199594095,0.01171961376963051,3.297786804871249,0.011175230517555054,6,23,0.5693750170911073,0.6835358529889282,8.546646839991146,8.864257697671064,False,0.6177041405601411,37,67.61609407989312,11.332580389973272,256,4,1,512,0.1382460987733285,0.004043358563374243,32,40,256,128,128,3,47.22709452691749,70.68648225308576,32,1,0.1469639712191246,0.0006575605556661038,16,28,64,64,0.02,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5162513143368167,8.829031411363635,8.868932029353784,2,"baseline,xgboost",,,
93,10.47435018252406,0.018272371350462866,161,8,72,0.9320027693593962,0.4325435571351254,0.02171700406850895,0.6442878427322013,0.01536339052332357,8,13,0.550128294908986,0.5339696984625245,1.9298118144902954,2.9071924592082654,False,0.6303679133111127,37,61.59471553688335,10.136764014158345,256,4,1,512,0.16343802533959367,0.003518670647997847,32,36,256,128,128,3,37.18968904370051,73.73753143233547,32,1,0.15652108209903262,0.0005127795378456569,16,24,64,64,0.02,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5151823352036932,8.92880317691298,8.89255445769238,2,"baseline,xgboost",,,
94,10.40580258862672,0.015501455824575612,117,9,62,0.8662172485590326,0.4662973915608232,0.021053797940177817,4.226327532232226,0.015321864541935291,4,31,0.6526395841998447,0.8088833110475973,3.964736555508833,4.993492908975752,False,0.6388388520284519,47,70.80341222730681,16.22662795148114,256,2,1,512,0.09574574458019737,0.0017175559389982493,32,40,64,128,32,5,42.23332563922403,143.91235188716155,32,2,0.09851833557575829,0.0007899945817193555,16,24,64,128,0.02,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5149427287386149,8.860974402410875,8.884144581682472,2,"baseline,xgboost",,,
95,10.376204983249874,0.01210623920286752,188,3,45,0.7627124576949778,0.45769227971400883,0.00792521056975529,7.181209397152745,0.010703408962093134,5,36,0.5656163816742537,0.7886210163199199,5.469388217568528,6.091361382351224,False,0.7535883617470908,54,69.5399452550298,11.659581657982347,256,8,2,512,0.18743046823456816,0.002669054873225194,32,29,256,64,64,4,30.79560918422973,109.7141177133843,32,2,0.081912468157019,0.0037273404730268334,16,21,64,64,0.04,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5160266681190335,8.828124978892774,8.91114714235576,2,"baseline,xgboost",,,
96,10.418874437093676,0.012410508290481213,183,7,32,0.8980642648461514,0.6184501023229929,0.009534660237449706,3.317136138403846,0.010544015646452328,4,16,0.6362370676977034,0.9425875590639944,3.300990356487211,4.793551184557921,False,0.8262499652030866,52,70.06880998082565,13.723529289511701,256,8,1,512,0.17284871638544785,0.0012296397883079181,32,22,256,64,64,3,35.329889828854675,77.30707237946051,32,2,0.17172017624788116,0.0027630826736628694,32,22,64,64,0.04,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5158314234217867,8.871380166828315,8.971613347169418,2,"baseline,xgboost",,,
97,10.383122030075661,0.01608290584773901,211,5,34,0.5262271599857004,0.6004135915352867,0.08123240625466958,1.9653877863403744,0.01283351147006362,4,42,0.5845412236243134,0.7728131257362818,6.761407465524402,9.970184487227176,False,0.752015711618366,55,49.52015762631508,8.844518298294345,256,8,3,512,0.15809351112098385,0.0033261068977745666,32,29,256,64,64,4,26.23983808552277,78.32677267564972,32,2,0.07877743087849626,0.002431723586532804,16,26,64,64,0.04,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5153037303514834,8.83721083902121,8.942553770038161,2,"baseline,xgboost",,,
98,10.44344849040477,0.028120475517956912,118,4,28,0.523441673104307,0.81608167280794,0.008871987415139847,0.5454078507536796,0.015432027866764843,5,36,0.6310519157528133,0.7971718279065351,0.40141242803662347,4.010910610670215,False,0.8294575814182922,40,53.84171225807364,5.4293658669112475,256,8,3,512,0.06825459800813609,0.0030283595564695,32,28,256,64,64,4,22.316650144720917,52.53191718909436,32,2,0.1439395959510401,0.0016394003609755447,16,29,64,64,0.04,143,False,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5140659774809105,8.901250557962037,9.005604919474692,2,"baseline,xgboost",,,
99,10.391128643556272,0.018984153258792325,219,7,96,0.7314424035363996,0.6050266762343582,0.0017175190405426075,1.6939203628354358,0.010831716386624387,5,26,0.6646391787915653,0.9001929395405925,3.170236151510019,9.377137502342878,True,0.6282924712805454,53,85.23356599417416,13.841200550679273,256,4,2,512,0.16769209555831333,0.0009605011920924513,32,40,256,128,32,4,45.98799217601798,129.20111269758462,128,1,0.15986239716703654,0.002581483055110928,16,23,128,64,0.02,53,True,DL fold best_state is None,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",0.5160009066060756,8.843125923738045,8.865388454572326,2,"baseline,xgboost",,,
