package,window,count,mag_mae,mag_rmse,time_mae_h,time_rmse_h,within_mag_05,within_time_12h,within_time_24h,max_abs_mag_err,max_abs_time_h
mag_residual_conservative,T1,20,0.44000000000000006,0.5991660871578097,2.908180555555556,4.026999599635312,0.75,1.0,1.0,1.8999999999999995,10.345833333333335
mag_residual_conservative,T2,20,0.36,0.5648008498577175,8.01390277777778,10.44730809534414,0.85,0.75,1.0,2.0,23.255277777777778
mag_residual_conservative,T3,20,0.3949999999999999,0.5417564028232615,22.42923611111111,26.19970110085074,0.75,0.3,0.5,1.2000000000000002,44.232222222222205
mag_residual_conservative,ALL,60,0.39833333333333343,0.5690635582545533,11.117106481481478,16.449795439340328,0.7833333333333333,0.6833333333333333,0.8333333333333334,2.0,44.232222222222205
mag_residual_balanced,T1,20,0.46999999999999986,0.6379655163094631,2.908180555555556,4.026999599635312,0.75,1.0,1.0,1.9999999999999991,10.345833333333335
mag_residual_balanced,T2,20,0.45,0.6252999280345394,8.01390277777778,10.44730809534414,0.8,0.75,1.0,2.1000000000000005,23.255277777777778
mag_residual_balanced,T3,20,0.43499999999999994,0.5953990258641678,22.42923611111111,26.19970110085074,0.7,0.3,0.5,1.2999999999999998,44.232222222222205
mag_residual_balanced,ALL,60,0.4516666666666666,0.6198117993929018,11.117106481481478,16.449795439340328,0.75,0.6833333333333333,0.8333333333333334,2.1000000000000005,44.232222222222205
mag_residual_aggressive,T1,20,0.51,0.689202437604511,2.908180555555556,4.026999599635312,0.65,1.0,1.0,2.0999999999999996,10.345833333333335
mag_residual_aggressive,T2,20,0.54,0.6949820141557623,8.01390277777778,10.44730809534414,0.7,0.75,1.0,2.2,23.255277777777778
mag_residual_aggressive,T3,20,0.5,0.6595452979136459,22.42923611111111,26.19970110085074,0.6,0.3,0.5,1.4000000000000004,44.232222222222205
mag_residual_aggressive,ALL,60,0.5166666666666668,0.6814200858012137,11.117106481481478,16.449795439340328,0.65,0.6833333333333333,0.8333333333333334,2.2,44.232222222222205
